UserID,row_index
2,0
7,1
8,2
9,3
10,4
12,5
14,6
16,7
17,8
19,9
20,10
22,11
23,12
26,13
32,14
36,15
38,16
39,17
42,18
44,19
51,20
53,21
56,22
64,23
67,24
68,25
69,26
70,27
73,28
75,29
77,30
78,31
79,32
81,33
82,34
83,35
85,36
86,37
87,38
88,39
91,40
92,41
95,42
97,43
99,44
100,45
102,46
107,47
109,48
110,49
114,50
125,51
129,52
132,53
133,54
135,55
137,56
139,57
141,58
144,59
151,60
160,61
162,62
165,63
169,64
176,65
178,66
182,67
183,68
185,69
190,70
193,71
199,72
202,73
204,74
207,75
212,76
215,77
217,78
221,79
224,80
226,81
228,82
230,83
232,84
233,85
236,86
237,87
241,88
242,89
243,90
244,91
247,92
249,93
250,94
254,95
256,96
257,97
269,98
272,99
273,100
278,101
280,102
289,103
291,104
300,105
302,106
306,107
310,108
311,109
313,110
316,111
323,112
326,113
327,114
332,115
334,116
337,117
338,118
339,119
343,120
345,121
356,122
357,123
359,124
361,125
362,126
364,127
367,128
369,129
372,130
376,131
382,132
383,133
384,134
387,135
388,136
392,137
393,138
400,139
406,140
408,141
413,142
422,143
424,144
430,145
431,146
432,147
433,148
435,149
438,150
439,151
440,152
441,153
444,154
446,155
447,156
453,157
460,158
463,159
469,160
472,161
475,162
476,163
479,164
483,165
486,166
487,167
489,168
493,169
494,170
496,171
499,172
500,173
501,174
503,175
505,176
507,177
508,178
512,179
513,180
516,181
518,182
523,183
530,184
537,185
538,186
542,187
546,188
547,189
552,190
558,191
559,192
564,193
565,194
566,195
567,196
569,197
585,198
592,199
595,200
596,201
602,202
614,203
618,204
619,205
620,206
621,207
623,208
625,209
626,210
628,211
634,212
638,213
639,214
640,215
641,216
643,217
645,218
649,219
650,220
651,221
657,222
660,223
677,224
678,225
683,226
685,227
695,228
698,229
701,230
705,231
707,232
708,233
709,234
711,235
712,236
713,237
714,238
717,239
720,240
724,241
726,242
728,243
730,244
735,245
736,246
737,247
739,248
741,249
743,250
744,251
746,252
753,253
756,254
757,255
758,256
759,257
763,258
765,259
767,260
769,261
771,262
774,263
776,264
777,265
778,266
780,267
782,268
785,269
786,270
790,271
791,272
795,273
799,274
805,275
809,276
811,277
818,278
819,279
822,280
824,281
827,282
828,283
834,284
835,285
843,286
848,287
849,288
850,289
853,290
861,291
876,292
878,293
882,294
883,295
885,296
886,297
887,298
895,299
896,300
899,301
900,302
901,303
902,304
903,305
913,306
914,307
915,308
916,309
919,310
921,311
924,312
929,313
932,314
933,315
936,316
937,317
938,318
941,319
944,320
945,321
951,322
955,323
965,324
967,325
969,326
970,327
973,328
974,329
981,330
984,331
986,332
989,333
996,334
998,335
999,336
1000,337
1003,338
1007,339
1008,340
1009,341
1010,342
1011,343
1012,344
1016,345
1017,346
1019,347
1021,348
1022,349
1024,350
1025,351
1026,352
1031,353
1032,354
1038,355
1040,356
1043,357
1046,358
1048,359
1054,360
1056,361
1057,362
1060,363
1063,364
1064,365
1069,366
1075,367
1079,368
1082,369
1083,370
1084,371
1087,372
1089,373
1093,374
1094,375
1095,376
1096,377
1098,378
1100,379
1106,380
1108,381
1111,382
1113,383
1116,384
1118,385
1123,386
1124,387
1129,388
1131,389
1132,390
1133,391
1137,392
1138,393
1140,394
1150,395
1155,396
1161,397
1164,398
1166,399
1167,400
1168,401
1169,402
1170,403
1172,404
1174,405
1178,406
1180,407
1184,408
1189,409
1192,410
1193,411
1200,412
1206,413
1210,414
1211,415
1214,416
1219,417
1223,418
1225,419
1231,420
1233,421
1234,422
1235,423
1237,424
1238,425
1242,426
1248,427
1249,428
1250,429
1252,430
1254,431
1256,432
1258,433
1259,434
1260,435
1261,436
1262,437
1263,438
1264,439
1266,440
